x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Espalda,Alopecias,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Gluteos,Alopecias,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Hombros,Alopecias,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Manos - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Manos,Alopecias,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Piernas,Alopecias,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pies - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Pies,Alopecias,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Rostro,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Cuello,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Ariolas,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Axilas,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Pecho,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Abdomen,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Brazos,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Espalda,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Gluteos,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Hombros,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Manos - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Manos,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Piernas,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Pies - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Pies,Vitiligo,,6 sesiones,5 min,2500,1500,1200,250,,
service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Rostro,Vitiligo,,6 sesiones,15 min,4000,3000,2400,500,,
service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Cuello,Vitiligo,,6 sesiones,15 min,4000,3000,2400,500,,
