x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Pomulos - Acne y Secuelas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Acne y Secuelas,Grado 2,1 sesion,,4000,3000,2400,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Pomulos - Acne y Secuelas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Acne y Secuelas,Grado 3,1 sesion,,4500,3500,2800,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Pomulos - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Manchas,Grado 1,1 sesion,,3500,2500,2000,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Pomulos - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Manchas,Grado 2,1 sesion,,4000,3000,2400,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Pomulos - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Manchas,Grado 3,1 sesion,,4500,3500,2800,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Cuello - Rejuvenecimiento - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Cuello,Rejuvenecimiento,Grado 1,1 sesion,,3500,2500,2000,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Cuello - Rejuvenecimiento - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Cuello,Rejuvenecimiento,Grado 2,1 sesion,,4000,3000,2400,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Cuello - Rejuvenecimiento - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Cuello,Rejuvenecimiento,Grado 3,1 sesion,,4500,3500,2800,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Manos - Rejuvenecimiento - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Manos,Rejuvenecimiento,Grado 1,1 sesion,,3500,2500,2000,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Manos - Rejuvenecimiento - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Manos,Rejuvenecimiento,Grado 2,1 sesion,,4000,3000,2400,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Manos - Rejuvenecimiento - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Manos,Rejuvenecimiento,Grado 3,1 sesion,,4500,3500,2800,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 1,1 sesion,,1000,500,400,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 2,1 sesion,,1500,1000,800,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 3,1 sesion,,2000,1500,1200,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 4,1 sesion,,2500,2000,1600,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 5,1 sesion,,3000,2500,2000,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Queratosis - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Queratosis,Grado 1,1 sesion,,1000,500,400,,,
