idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
54,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 3,1 sesion,,2000.0,1500.0,1200,,,
55,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 4,1 sesion,,2500.0,2000.0,1600,,,
56,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 5,1 sesion,,3000.0,2500.0,2000,,,
57,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 1,1 sesion,,4000.0,3000.0,2400,,,
58,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 2,1 sesion,,4500.0,3500.0,2800,,,
59,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 3,1 sesion,,5000.0,4000.0,3200,,,
60,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 4,1 sesion,,6000.0,5000.0,4000,,,
61,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 5,1 sesion,,6500.0,5500.0,4400,,,
62,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 1,1 sesion,,1000.0,500.0,400,,,
63,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 2,1 sesion,,1500.0,1000.0,800,,,
64,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 3,1 sesion,,2000.0,1500.0,1200,,,
65,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 4,1 sesion,,2500.0,2000.0,1600,,,
66,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 5,1 sesion,,3000.0,2500.0,2000,,,
67,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 1,1 sesion,,1000.0,500.0,400,,,
68,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 2,1 sesion,,1500.0,1000.0,800,,,
69,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 3,1 sesion,,2000.0,1500.0,1200,,,
70,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 4,1 sesion,,2500.0,2000.0,1600,,,
71,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 5,1 sesion,,3000.0,2500.0,2000,,,
72,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 1,1 sesion,,1000.0,500.0,400,,,
73,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 2,1 sesion,,1500.0,1000.0,800,,,
74,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 3,1 sesion,,2000.0,1500.0,1200,,,
75,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 4,1 sesion,,2500.0,2000.0,1600,,,
76,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 5,1 sesion,,3000.0,2500.0,2000,,,
77,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 1,1 sesion,,1000.0,500.0,400,,,
78,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 2,1 sesion,,1500.0,1000.0,800,,,
79,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 3,1 sesion,,2000.0,1500.0,1200,,,
80,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 4,1 sesion,,2500.0,2000.0,1600,,,
81,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 5,1 sesion,,3000.0,2500.0,2000,,,
82,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 1,1 sesion,,1000.0,500.0,400,,,
83,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 2,1 sesion,,1500.0,1000.0,800,,,
84,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 3,1 sesion,,2000.0,1500.0,1200,,,
85,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 4,1 sesion,,2500.0,2000.0,1600,,,
86,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 5,1 sesion,,3000.0,2500.0,2000,,,
