idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
44,service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Pecho,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
45,service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Abdomen,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
46,service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Brazos,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
47,service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Espalda,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
48,service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Gluteos,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
49,service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Hombros,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
50,service,laser,excilite,,, - ,LASER EXCILITE - Manos - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Manos,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
51,service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Piernas,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
52,service,laser,excilite,,, - ,LASER EXCILITE - Pies - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Pies,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
53,service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Rostro,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
54,service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Cuello,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
55,service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Ariolas,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
56,service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Axilas,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
57,service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Pecho,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
58,service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Abdomen,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
59,service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Brazos,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
60,service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Espalda,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
61,service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Gluteos,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
62,service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Hombros,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
63,service,laser,excilite,,, - ,LASER EXCILITE - Manos - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Manos,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
64,service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Piernas,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
65,service,laser,excilite,,, - ,LASER EXCILITE - Pies - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Pies,Psoriasis,-1,1 sesion,15 min,800,600,480,,,
66,service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Rostro,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
67,service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Cuello,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
68,service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Ariolas,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
69,service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Axilas,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
70,service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Pecho,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
71,service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Abdomen,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
72,service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Brazos,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
73,service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Espalda,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
74,service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Gluteos,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
