idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
44,service,laser,m22,,, - ,LASER M22 IPL - Pies - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Pies,Depilacion,-1,1 sesion,30 min,1200,1000,800,,,
45,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Rosacea - 6 sesiones - 30 min,LASER M22 IPL,Rostro,Rosacea,-1,6 sesiones,30 min,6000,5000,4000,,,
46,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Rosacea - 6 sesiones - 30 min,LASER M22 IPL,Rostro,Rosacea,-1,6 sesiones,30 min,6000,5000,4000,,,
47,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Manchas - 6 sesiones - 30 min,LASER M22 IPL,Rostro,Manchas,-1,6 sesiones,30 min,6000,5000,4000,,,
48,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Manchas - 6 sesiones - 30 min,LASER M22 IPL,Rostro,Manchas,-1,6 sesiones,30 min,6000,5000,4000,,,
49,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Cuerpo - Varices - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Varices,-1,6 sesiones,15 min,4000,3000,2400,,,
50,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Rostro - Telangectacias - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Rostro,Telangectacias,-1,6 sesiones,15 min,4000,3000,2400,,,
51,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Cuerpo - Telangectacias - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Telangectacias,-1,6 sesiones,15 min,4000,3000,2400,,,
52,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Rostro - Puntos Rubi - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Rostro,Puntos Rubi,-1,6 sesiones,15 min,4000,3000,2400,,,
53,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Cuerpo - Puntos Rubi - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Puntos Rubi,-1,6 sesiones,15 min,4000,3000,2400,,,
54,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Rostro - Hemangiomas - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Rostro,Hemangiomas,-1,6 sesiones,15 min,4000,3000,2400,,,
55,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Cuerpo - Hemangiomas - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Hemangiomas,-1,6 sesiones,15 min,4000,3000,2400,,,
56,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Acné Activo - 6 sesiones - 30 min,LASER M22 IPL,Rostro,Acné Activo,-1,6 sesiones,30 min,6000,5000,4000,,,
57,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Rejuvenecimiento - 6 sesiones - 30 min,LASER M22 IPL,Rostro,Rejuvenecimiento,-1,6 sesiones,30 min,6000,5000,4000,,,
58,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Rostro,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,,,
59,service,laser,m22,,, - ,LASER M22 IPL - Cuello - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Cuello,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,,,
60,service,laser,m22,,, - ,LASER M22 IPL - Ariolas - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Ariolas,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,,,
61,service,laser,m22,,, - ,LASER M22 IPL - Axilas - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Axilas,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,,,
62,service,laser,m22,,, - ,LASER M22 IPL - Pecho - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Pecho,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,,,
63,service,laser,m22,,, - ,LASER M22 IPL - Abdomen - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Abdomen,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,,,
64,service,laser,m22,,, - ,LASER M22 IPL - Espalda - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Espalda,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,,,
65,service,laser,m22,,, - ,LASER M22 IPL - Hombros - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Hombros,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,,,
66,service,laser,m22,,, - ,LASER M22 IPL - Manos - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Manos,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,,,
67,service,laser,m22,,, - ,LASER M22 IPL - Pies - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Pies,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,,,
