idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
52,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 1,1 sesion,-1,1000,500,400,,,
53,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 2,1 sesion,-1,1500,1000,800,,,
54,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 3,1 sesion,-1,2000,1500,1200,,,
55,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 4,1 sesion,-1,2500,2000,1600,,,
56,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 5,1 sesion,-1,3000,2500,2000,,,
57,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 1,1 sesion,-1,4000,3000,2400,,,
58,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 2,1 sesion,-1,4500,3500,2800,,,
59,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 3,1 sesion,-1,5000,4000,3200,,,
60,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 4,1 sesion,-1,6000,5000,4000,,,
61,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 5,1 sesion,-1,6500,5500,4400,,,
62,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 1,1 sesion,-1,1000,500,400,,,
63,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 2,1 sesion,-1,1500,1000,800,,,
64,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 3,1 sesion,-1,2000,1500,1200,,,
65,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 4,1 sesion,-1,2500,2000,1600,,,
66,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 5,1 sesion,-1,3000,2500,2000,,,
67,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 1,1 sesion,-1,1000,500,400,,,
